,Name,street_address,city,state,zip_code,post_code,latitude,longitude,green,idx,coords
0,Comfort Inn Near Old Town Pasadena In Eagle Rock,2300 Colorado Blvd,Los Angeles,California,90041,90041-1145,34.1390884,-118.2167748,1,20,"(34.139088399999999, -118.2167748)"
1,W Hotel Hollywood,6250 Hollywood Blvd,Los Angeles,California,90028,90028-5309,34.100955400000004,-118.3258303,1,91,"(34.100955400000004, -118.32583030000001)"
2,Best Western Hollywood Plaza Inn,2011 N Highland Ave,Los Angeles,California,90068,90068-3238,34.107214,-118.33788490000002,1,5,"(34.107213999999999, -118.33788490000002)"
3,DoubleTree Los Angeles Downtown,120 South Los Angeles Street,Los Angeles,California,90012,90012-3724,34.0505339,-118.242828,1,29,"(34.050533899999998, -118.242828)"
4,Hilton Checkers Los Angeles,535 S Grand Ave,Los Angeles,California,90071,90071-2601,34.0496255,-118.2549693,1,40,"(34.049625499999998, -118.2549693)"
5,Westin Bonaventure Hotel & Suites,404 South Figueroa Street,Los Angeles,California,90071,90071-1710,34.052254100000006,-118.25622549999999,1,92,"(34.052254100000006, -118.25622549999999)"
6,Red Lion Hotel Anaheim,1850 S Harbor Blvd,Anaheim,California,92802,92802-3510,33.801993599999996,-117.9149881,1,70,"(33.801993599999996, -117.9149881)"
7,Best Western Plus Carriage Inn,5525 Sepulveda Blvd,Los Angeles,California,91411,91411-3438,34.1713325,-118.4667332,1,8,"(34.171332499999998, -118.46673319999999)"
8,The LA Hotel Downtown,333 S Figueroa St,Los Angeles,California,90071,90071-1001,34.05437,-118.2552116,1,85,"(34.054369999999999, -118.2552116)"
9,Courtyard Anaheim Resort Convention Center,2045 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.797546200000006,-117.91661599999999,1,22,"(33.797546200000006, -117.91661599999999)"
10,Fairfield Inn Anaheim Resort,1460 South Harbor Blvd.,Anaheim,California,92802,92802-2311,33.8113497,-117.91377820000001,1,35,"(33.811349700000001, -117.91377820000001)"
11,Luxury Collection SLS Hotel @ Beverly Hills,465 South La Cienega Boulevard,Los Angeles,California,90048,90048-4001,34.0700441,-118.37681470000001,1,56,"(34.070044099999997, -118.37681470000001)"
12,Sofitel Los Angeles,8555 Beverly Blvd,Los Angeles,California,90048,90048-3303,34.0764091,-118.37737609999999,1,79,"(34.076409099999999, -118.37737609999999)"
13,Loews Hollywood Hotel,1755 N Highland Ave,Los Angeles,California,90028,90028-4403,34.103081,-118.3393257,1,55,"(34.103081000000003, -118.3393257)"
14,Hotel Current,5325 E Pacific Coast Hwy,Long Beach,California,90804,90804-4441,33.781895899999995,-118.130372,1,48,"(33.781895899999995, -118.13037199999999)"
15,Marriott Long Beach,4700 Airport Plaza Dr,Long Beach,California,90815,90815-1252,33.8116232,-118.13878329999999,1,58,"(33.8116232, -118.13878329999999)"
16,Best Western Of Long Beach,1725 Long Beach Blvd.,Long Beach,California,90813,90813-1931,33.7887325,-118.1900656,1,6,"(33.788732500000002, -118.1900656)"
17,Renaissance Long Beach Hotel,111 E Ocean Blvd,Long Beach,California,90802,90802-4794,33.767405600000004,-118.1915634,1,71,"(33.767405600000004, -118.19156340000001)"
18,Hyatt Centric The Pike Long Beach,285 Bay St,Long Beach,California,90802,90802-8161,33.7649615,-118.19482909999999,1,52,"(33.764961499999998, -118.19482909999999)"
19,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,California,90802,90802-4537,33.76343189999999,-118.19095779999999,1,53,"(33.763431899999993, -118.19095779999999)"
20,Marriott Anaheim,700 W Convention Way,Anaheim,California,92802,92802-3424,33.798475399999994,-117.9192248,1,57,"(33.798475399999994, -117.91922479999999)"
21,Anaheim Desert Palm Hotel & Suites,631 West Katella Avenue,Anaheim,California,92802,92802-3410,33.8037835,-117.91643290000002,1,1,"(33.803783500000002, -117.91643290000002)"
22,Sheraton Grand Los Angeles,711 S Hope St,Los Angeles,California,90017,90017-3803,34.0478628,-118.25837560000001,1,78,"(34.047862799999997, -118.25837560000001)"
23,The Elan Hotel,8435 Beverly Blvd,Los Angeles,California,90048,90048-3415,34.076341799999994,-118.3744545,1,83,"(34.076341799999994, -118.3744545)"
24,Embassy Suites Lompoc Central Coast,1117 N H St,Lompoc,California,93436,93436-8115,34.6558815,-120.45876090000002,1,33,"(34.6558815, -120.45876090000002)"
25,Rodeway Inn & Suites Near Convention Center Anaheim,2145 S Harbor Blvd,Anaheim,California,92802,92802-3515,33.7943266,-117.91572340000002,0,75,"(33.794326599999998, -117.91572340000002)"
26,Ramada Anaheim South ,2141 S Harbor Blvd,Anaheim,California,92802,92802-3515,33.7946245,-117.91606670000002,0,68,"(33.794624499999998, -117.91606670000002)"
27,The Mayfair Hotel,1256 W 7th St,Los Angeles,California,90017,90017-2346,34.05193870000001,-118.26759990000001,0,86,"(34.051938700000008, -118.26759990000001)"
28,Rodeway Inn Hollywood,6826 W Sunset Blvd,Los Angeles,California,90028,90028-7008,34.0976035,-118.33969669999999,0,76,"(34.097603499999998, -118.33969669999999)"
29,Comfort Inn Near Hollywood Walk Of Fame ,7051 W Sunset Blvd,Los Angeles,California,90028,90028-7509,34.0983427,-118.3431357,0,19,"(34.098342700000003, -118.3431357)"
30,Motel 6 Los Angeles Hollywood,1738 Whitley Ave,Los Angeles,California,90028,90028-4809,34.1028226,-118.33290790000001,0,61,"(34.102822600000003, -118.33290790000001)"
31,Quality Inn Near Hollywood Walk Of Fame,1520 N La Brea Ave,Los Angeles,California,90028,90028-7004,34.0989422,-118.3440946,0,67,"(34.098942200000003, -118.34409460000001)"
32,Days Inn Hollywood Near Universal Studios,7023 W Sunset Blvd,Los Angeles,California,90028,90028-7509,34.0983543,-118.3421313,0,25,"(34.098354299999997, -118.34213130000001)"
33,The Standard Downtown LA ,550 S Flower St,Los Angeles,California,90071,90071-2501,34.050205,-118.25697930000001,0,88,"(34.050204999999998, -118.25697930000001)"
34,BLVD Hotel & Suites,2010 N Highland Ave,Los Angeles,California,90068,90068-3239,34.106957200000004,-118.3368348,0,3,"(34.106957200000004, -118.33683480000001)"
35,Best Western Plus Dragon Gate Inn,818 North Hill Street,Los Angeles,California,90012,90012-2395,34.0630623,-118.23879699999999,0,9,"(34.063062299999999, -118.23879699999999)"
36,Best Western Plus Glendale,2911 Colorado Boulevard,Los Angeles,California,90041,90041-1011,34.143177,-118.2282888,0,10,"(34.143177000000001, -118.2282888)"
37,Travelodge Anaheim International,2060 S Harbor Blvd,Anaheim,California,92802,92802-3514,33.796963500000004,-117.9141942,0,90,"(33.796963500000004, -117.9141942)"
38,Days Inn Anaheim Maingate,2200 S Harbor Blvd,Anaheim,California,92802,92802-3517,33.792798499999996,-117.91432739999999,0,24,"(33.792798499999996, -117.91432739999999)"
39,Hilton Garden Inn Los Angeles Hollywood,2005 North Highland Avenue,Los Angeles,California,90068,90068-3238,34.1066257,-118.3378393,0,41,"(34.106625700000002, -118.3378393)"
40,Extended Stay America Orange County Anaheim Convention Center,1742 S Clementine St,Anaheim,California,92802,92802-2902,33.8047821,-117.9087433,0,34,"(33.804782099999997, -117.9087433)"
41,Clarion Hotel Anaheim Resort,616 W Convention Way,Anaheim,California,92802,92802-3401,33.7991527,-117.9163006,0,17,"(33.7991527, -117.9163006)"
42,Motel 6 Anaheim Maingate,100 W Disney Way,Anaheim,California,92802,92802-2900,33.805673799999994,-117.90761299999998,0,59,"(33.805673799999994, -117.90761299999998)"
43,Residence Inn Anaheim Maingate,1700 S Clementine St,Anaheim,California,92802,92802-2902,33.8060092,-117.90911170000001,0,72,"(33.806009199999998, -117.90911170000001)"
44,Quality Inn & Suites Anaheim @ The Park,1166 W Katella Ave,Anaheim,California,92802,92802-2805,33.8027062,-117.9264105,0,65,"(33.802706200000003, -117.9264105)"
45,Quality Inn & Suites Anaheim Resort,1441 S Manchester Ave,Anaheim,California,92802,92802-2905,33.811769399999996,-117.91233590000002,0,66,"(33.811769399999996, -117.91233590000002)"
46,Grand Legacy @ The Park,1650 S Harbor Blvd,Anaheim,California,92802,92802-2314,33.807606899999996,-117.9149118,0,37,"(33.807606899999996, -117.9149118)"
47,Super 8 Anaheim Disneyland Drive,915 S Disneyland Dr,Anaheim,California,92802,92802-1842,33.819178,-117.923204,0,80,"(33.819178000000001, -117.923204)"
48,Travelodge Anaheim,1057 W Ball Rd,Anaheim,California,92802,92802-1841,33.8182442,-117.92306840000002,0,89,"(33.818244200000002, -117.92306840000002)"
49,Hampton Inn Suites Los Angeles Sherman Oaks,5638 Sepulveda Blvd,Los Angeles,California,91411,91411-2928,34.1734086,-118.4657122,0,38,"(34.173408600000002, -118.4657122)"
50,Best Western Plus Hollywood Hills Hotel,6141 Franklin Ave,Los Angeles,California,90028,90028-5205,34.1054395,-118.3236787,0,11,"(34.105439500000003, -118.3236787)"
51,Holiday Inn Express & Suites Hollywood Walk Of Fame,1921 North Highland Avenue,Los Angeles,California,90068,90068-3236,34.1060203,-118.3380219,0,44,"(34.106020299999997, -118.3380219)"
52,The Orlando Hotel,8384 W 3rd St,Los Angeles,California,90048,90048-4311,34.0727833,-118.3729511,0,87,"(34.072783299999998, -118.37295109999999)"
53,Econo Lodge Long Beach,3624 E Pacific Coast Hwy,Long Beach,California,90804,90804-2015,33.7894881,-118.14945690000002,0,32,"(33.7894881, -118.14945690000002)"
54,La Quinta Inns & Suites Anaheim,1752 S Clementine St,Anaheim,California,92802,92802-2902,33.804442,-117.9094757,0,54,"(33.804442000000002, -117.9094757)"
55,Anaheim Del Sol Inn,1604 S Harbor Blvd,Anaheim,California,92802,92802-2314,33.8084224,-117.91366380000001,0,0,"(33.808422399999998, -117.91366380000001)"
56,Best Western Courtesy Inn,1070 West Ball Road,Anaheim,California,92802,92802-1804,33.8176566,-117.9234814,0,4,"(33.817656599999999, -117.9234814)"
57,Anaheim Majestic Garden Hotel,900 South Disneyland Drive,Anaheim,California,92802,92802-1844,33.8193494,-117.9211632,0,2,"(33.8193494, -117.9211632)"
58,Comfort Inn & Suites Anaheim,300 E Katella Way,Anaheim,California,92802,92802-3714,33.8024277,-117.90448549999999,0,18,"(33.802427700000003, -117.90448549999999)"
59,Hilton Anaheim,777 W Convention Way,Anaheim,California,92802,92802-3425,33.8000919,-117.9183929,0,39,"(33.800091899999998, -117.9183929)"
60,Holiday Inn Anaheim Resort Area,1915 S Manchester Ave,Anaheim,California,92802,92802-3802,33.800290999999994,-117.9009885,0,43,"(33.800290999999994, -117.9009885)"
61,Best Western Plus Raffles Inn & Suites,2040 S Harbor Blvd,Anaheim,California,92802,92802-3514,33.7973473,-117.9141443,0,15,"(33.797347299999998, -117.9141443)"
62,Disney's Paradise Pier Hotel,1717 S Disneyland Dr,Anaheim,California,92802,92802-2308,33.8063709,-117.9244035,0,28,"(33.806370899999997, -117.9244035)"
63,Holiday Inn & Suites Anaheim Disneyland,1240 South Walnut,Anaheim,California,92802,92802-2241,33.8166377,-117.92796659999999,0,42,"(33.816637700000001, -117.92796659999999)"
64,Cortona Inn & Suites,2029 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.7982864,-117.9164257,0,21,"(33.798286400000002, -117.9164257)"
65,Portofino Inn & Suites Anaheim,1831 S Harbor Blvd,Anaheim,California,92802,92802-3509,33.802528499999994,-117.9159752,0,64,"(33.802528499999994, -117.91597520000001)"
66,Disney's Grand Californian Hotel,1600 S Disneyland Dr,Anaheim,California,92802,92802-2317,33.807929200000004,-117.92223590000002,0,27,"(33.807929200000004, -117.92223590000002)"
67,Super 8 Anaheim Near Disneyland,415 West Katella Avenue,Anaheim,California,92802,92802-3607,33.804495,-117.91293600000002,0,81,"(33.804495000000003, -117.91293600000002)"
68,Motel 6 Los Angeles Long Beach,5665 E 7th St,Long Beach,California,90804,90804-4430,33.7758114,-118.12207450000001,0,62,"(33.775811400000002, -118.12207450000001)"
69,Holiday Inn Long Beach Airport ,2640 N Lakewood Blvd,Long Beach,California,90815,90815-1715,33.8040448,-118.1416632,0,46,"(33.8040448, -118.1416632)"
70,Holiday Inn Long Beach Downtown Area,1133 Atlantic Ave,Long Beach,California,90813,90813,33.781673600000005,-118.1854956,0,47,"(33.781673600000005, -118.1854956)"
71,Residence Inn Long Beach,4111 E Willow St,Long Beach,California,90815,90815-1740,33.8038826,-118.1450936,0,73,"(33.803882600000001, -118.1450936)"
72,Rodeway Inn Long Beach,50 Atlantic Ave,Long Beach,California,90802,90802-5202,33.7671594,-118.184676,0,77,"(33.767159399999997, -118.184676)"
73,Courtyard Long Beach Downtown,500 East First Street,Long Beach,California,90802,90802-5024,33.7677694,-118.18586119999999,0,23,"(33.767769399999999, -118.18586119999999)"
74,Residence Inn Long Beach Downtown,600 Queensway Drive,Long Beach,California,90802,90802-6341,33.758774700000004,-118.2012616,0,74,"(33.758774700000004, -118.2012616)"
75,Super 8 Long Beach,4201 E Pacific Coast Hwy,Long Beach,California,90804,90804-2113,33.7904336,-118.14376599999999,0,82,"(33.7904336, -118.14376599999999)"
76,Hotel Queen Mary,1126 Queens Hwy,Long Beach,California,90802,90802-6331,33.7528427,-118.1897,0,50,"(33.752842700000002, -118.1897)"
77,Westin Long Beach,333 E Ocean Blvd,Long Beach,California,90802,90802-4827,33.767451,-118.188244,0,93,"(33.767451000000001, -118.188244)"
78,Best Western Plus Hotel @ The Convention Center,517 E 1st St,Long Beach,California,90802,90802-5025,33.768403,-118.1860825,0,12,"(33.768402999999999, -118.1860825)"
79,Doubletree Hotel Maya,700 Queensway Dr,Long Beach,California,90802,90802-6343,33.756732799999995,-118.1987124,0,31,"(33.756732799999995, -118.19871240000001)"
80,Ramada Plaza Anaheim,515 W Katella Ave,Anaheim,California,92802,92802-3609,33.8037363,-117.91432739999999,0,69,"(33.803736299999997, -117.91432739999999)"
81,Best Western Plus Stovall's Inn,1110 W Katella Ave,Anaheim,California,92802,92802-2805,33.802362200000005,-117.92450430000001,0,16,"(33.802362200000005, -117.92450430000001)"
82,Best Western Plus Pavilions,1176 W. Katella Ave,Anaheim,California,92802,92802-2895,33.8024759,-117.92776070000001,0,14,"(33.802475899999997, -117.92776070000001)"
83,Best Western Plus Park Place Inn Mini Suites,1544 S Harbor Blvd,Anaheim,California,92802,92802-2312,33.809548799999995,-117.91423590000002,0,13,"(33.809548799999995, -117.91423590000002)"
84,Disney's Disneyland Hotel,1150 West Magic Way,Anaheim,California,92802,92802-2297,33.80890170000001,-117.9270524,0,26,"(33.808901700000007, -117.92705239999999)"
85,Best Western Plus Anaheim Inn,1630 South Harbor Boulevard,Anaheim,California,92802,92802-2314,33.808268700000006,-117.91437320000001,0,7,"(33.808268700000006, -117.91437320000001)"
86,Howard Johnson Los Angeles Anaheim Area,1380 South Harbor Boulevard,Anaheim,California,92802,92802-2310,33.813999200000005,-117.9145334,0,51,"(33.813999200000005, -117.9145334)"
87,DoubleTree Suites Anaheim Resort Convention Center,2085 S Harbor Blvd,Anaheim,California,92802,92802-3513,33.796378999999995,-117.915851,0,30,"(33.796378999999995, -117.915851)"
88,Hotel Indigo Anaheim Maingate,435 West Katella Avenue,Anaheim,California,92802,92802-3607,33.8036719,-117.9136126,0,49,"(33.803671899999998, -117.91361259999999)"
89,The Hollywood Roosevelt,7000 Hollywood Boulevard,Los Angeles,California,90028,90028-6003,34.1012777,-118.34161280000001,0,84,"(34.101277699999997, -118.34161280000001)"
90,Omni Los Angeles Hotel,251 S Olive St,Los Angeles,California,90012,90012-3002,34.0525457,-118.25056090000001,0,63,"(34.052545700000003, -118.25056090000001)"
91,Four Seasons Hotel Los Angeles,300 S Doheny Dr,Los Angeles,California,90048,90048-3704,34.0621234,-118.3896124,0,36,"(34.062123399999997, -118.3896124)"
92,Motel 6 Lompoc,1521 North H Street,Lompoc,California,93436,93436-2818,34.6631786,-120.4587194,0,60,"(34.663178600000002, -120.45871940000001)"
93,Holiday Inn Express Lompoc,1417 N H St,Lompoc,California,93436,93436-3309,34.6624894,-120.4584009,0,45,"(34.662489399999998, -120.4584009)"
